location,company,relevance
Bridgeport (BDR),eli-lilly,Bridgeport is vital for Eli Lilly partnerships.
Westfield (BAF),eli-lilly,Potential partnership opportunity or strategic collaboration meeting.
Morrisville (MVL),eli-lilly,Morrisville hosts biotech partners and research facilities.
Hartford (HFD),eli-lilly,"Hartford hosts partners, potential collaborations, strategic meetings."
New London (GON),eli-lilly,New London: potential partners and strategic exploration.
Lebanon (LEB),eli-lilly,Lebanon markets Eli Lilly's innovative pharmaceutical products.
Norwood (OWD),eli-lilly,Potential partnership exploration; research collaboration; strategic investment.
San Francisco (SFO),abbvie,AbbVie's innovation hub and partnerships thrive here.
Chicago (UGN),abbvie,Chicago hosts AbbVie headquarters; strategic partnerships thrive.
Appleton (ATW),abbvie,Potential partnership discussions or strategic collaborations.
—,abbvie,CEO's private plane suggests strategic partnership discussions.
Washington (IAD),abbvie,"Washington (IAD): meetings with government officials, partners."
Chicago (MDW),abbvie,"AbbVie's headquarters located near Chicago, MDW."
Nashville (BNA),abbvie,"Nashville: potential partnerships, talent acquisition, strategic initiatives."
Boca Raton (BCT),abbvie,"Boca Raton: potential partnerships, biotech conferences, networking."
Raleigh-Durham (RDU),abbvie,"Raleigh-Durham: Innovation hub, biotech partnerships, opportunity."
